UNI,VOTES CAST BY UNI
FAMU/FSU,"6,113"
FAU (BOCA RATON),"4,410"
FIU,"7,704"
MDC (KENDALL),"5,654"
MDC (NORTH),"5,612"
NSU,"4,871"
UCF,"5,117"
UF,"7,908"
UNF,"3,416"
USF,"4,640"
UWF,"1,671"
