UNI,VOTES CAST BY UNI
FAMU,"2,573"
FAU (BOCA RATON),"13,018"
FIU,"13,484"
FSU,"8,742"
MDC (KENDALL),"10,630"
MDC (NORTH),"6,043"
NSU,"9,042"
UCF,"10,027"
UF,"9,836"
USF,"3,822"
UWF,"5,127"
