UNI,VOTES CAST BY UNI
FAMU,"2,573"
FAU,"13,018"
FIU,"13,484"
FSU,"8,742"
NSU,"9,042"
UCF,"10,027"
UF,"9,836"
USF,"3,822"
UWF,"5,127"
