UNI,VOTES CAST BY UNI
FAMU/FSU,"6,113"
FAU,"4,410"
FIU,"7,704"
NSU,"4,871"
UCF,"5,117"
UF,"7,908"
UNF,"3,416"
USF,"4,640"
UWF,"1,671"
