CAMPUS,VOTES CAST BY CAMPUS
BROWARD,"6,823"
EWU,"2,772"
FAMU,"2,636"
FAU (JUPITER),"10,905"
FIU,"15,930"
FSCJ,"11,578"
FSU,"12,244"
IRSC (PRUITT),"13,866"
MDC (KENDALL),"12,155"
MDC (NORTH),"7,160"
SANTA FE,"5,449"
UCF,"8,488"
UF,"10,987"
USF,"3,710"
UWF,"5,147"
VALENCIA,"12,235"
